################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.29047856, 0.3055059, 0.29907897, 0.35320807, 0.012910892]
GOLD TOK: 	 []
PRED TOK: 	 [['2007']]
################################################################################
IN SEQ: 	 b'do republicans still think the 2020 election will be overturned ?'
GOLD SEQ: 	 b'do republicans still think the 2020 election will be overturned ?'
PRED SEQ:	 b'do republicans still think the 2020 election will be overturned ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04603156, 0.015622941, 0.7907745, 0.015809547, 5.9767654e-06, 4.2986816e-05, 2.351238e-05, 0.00088074, 8.3466664e-05, 0.026830507, 0.013953362]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'has there been any serious disagreements between the republicans since the 2020 election ?'
GOLD SEQ: 	 b'has there been any serious disagreements between the republicans since the 2020 election ?'
PRED SEQ:	 b'has there been any disagreements between the republicans since the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.002561559, 5.035923e-05, 8.909622e-05, 0.054303505, 0.91608423, 0.0026322098, 5.053906e-05, 7.2601964e-05, 0.0056855483, 0.0016180421, 3.0218951e-05, 0.0006831306, 0.000118081225, 0.0007491079]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"three months after joe bid ##en ' s inauguration as pot ##us , millions of trump supporters continue to display trump / pen ##ce 2020 lawn signs ."
GOLD SEQ: 	 b"three months after joe bid ##en ' s inauguration as pot ##us , millions of trump supporters continue to display trump / pen ##ce 2020 lawn signs ."
PRED SEQ:	 b"three months after joe bid ##en ' s inauguration as pot ##us , millions of trump supporters continue to display trump lawn signs ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00018507427, 3.5733727e-05, 1.594394e-06, 1.1303009e-06, 1.231752e-06, 1.032952e-06, 8.952919e-07, 9.649629e-07, 8.038528e-06, 7.062607e-05, 0.0017208339, 0.0013923568, 1.0561557e-06, 0.00318578, 1.4598273e-06, 6.479838e-05, 0.00014680637, 0.00039921998, 2.217166e-06, 2.7910151e-05, 0.6754913, 0.98284805, 0.3873266, 0.17768703, 4.4207696e-05, 1.6355807e-05, 2.5309814e-06, 1.0441598e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do they believe donald trump is the real pot ##us , or is it more that they wish he was , or is something else at work ?'
GOLD SEQ: 	 b'do they believe donald trump is the real pot ##us , or is it more that they wish he was , or is something else at work ?'
PRED SEQ:	 b'do they believe donald trump is the real pot ##us , or is it more that they wish he was , or is something else at work ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.046324946, 0.46955127, 0.19788624, 8.548644e-05, 3.7528782e-05, 0.0007507849, 0.00010207544, 0.028863488, 0.046550237, 0.0614094, 7.839014e-06, 0.00017481565, 0.00016053172, 8.570551e-05, 0.005472585, 0.0001970963, 0.02240116, 0.0022449542, 0.011947597, 0.00022073301, 5.599462e-06, 0.000107749736, 0.0002761084, 0.0006781727, 0.0009519886, 0.00011871991, 0.00015428818, 0.00064506]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why did the us reject trump in 2020 ?'
GOLD SEQ: 	 b'why did the us reject trump in 2020 ?'
PRED SEQ:	 b'why did the us reject trump in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3842509, 0.0699917, 0.00478021, 0.026810527, 0.07805787, 0.07777708, 0.010614229, 0.06045383, 0.06981022]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'looking back at the 2020 election , do you think that its a bitter ##sw ##eet victory for the democrats , despite trump being gone ?'
GOLD SEQ: 	 b'looking back at the 2020 election , do you think that its a bitter ##sw ##eet victory for the democrats , despite trump being gone ?'
PRED SEQ:	 b'looking back at the 2020 election , do you think that its a victory for the democrats , despite trump being gone ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.019306358, 0.003253096, 0.0001278446, 3.180789e-05, 0.0005817597, 0.00025539036, 1.6689242e-05, 0.0004633567, 0.0030675814, 0.004141277, 0.0005289302, 0.1324158, 0.0031971936, 0.4276447, 0.51956296, 0.40991655, 0.019167343, 0.00010254891, 0.00013265859, 0.022626815, 1.4261112e-05, 0.03808268, 0.0074625504, 0.0035962702, 0.06107517, 0.0005264091]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are some common people that will become a millionaire in lock ##down 2020 ?'
GOLD SEQ: 	 b'what are some common people that will become a millionaire in lock ##down 2020 ?'
PRED SEQ:	 b'what are some common people that will become a millionaire in lock ##down 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.018882347, 0.008569869, 0.026851222, 0.11107144, 0.041904718, 0.036122706, 0.1776685, 0.02719031, 0.0048176907, 0.3804527, 0.0020575554, 0.0869227, 0.1250305, 0.03108465, 0.004668992]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is donald trump going to run for president in 202 ##4 ?'
GOLD SEQ: 	 b'is donald trump going to run for president in 202 ##4 ?'
PRED SEQ:	 b'is donald trump going to run for president in 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3985311, 0.0093253795, 0.0006750575, 0.17116825, 0.0015539617, 0.019035831, 0.00080642634, 0.1258569, 0.0013695022, 0.05743442, 0.0023266098, 0.16774875]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'are you comfortable with the do ##j getting involved in the az audit ?'
GOLD SEQ: 	 b'are you comfortable with the do ##j getting involved in the az audit ?'
PRED SEQ:	 b'are you comfortable with the do ##j getting involved in the az audit ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.084923945, 0.21101336, 0.118232146, 0.00017455117, 0.030834103, 0.06003736, 0.21713768, 0.0054085515, 0.00066802226, 4.4919252e-05, 0.00027846973, 0.22147915, 0.2197372, 0.007521835]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why was there a need for the arizona audit ?'
GOLD SEQ: 	 b'why was there a need for the arizona audit ?'
PRED SEQ:	 b'why was there a need for the arizona audit ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.37567857, 0.02414829, 0.012935765, 0.08536313, 0.22646794, 0.0025627117, 0.0056872717, 0.027895529, 0.12036243, 0.026950074]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who would you most expect to win the next us presidential election ?'
GOLD SEQ: 	 b'who would you most expect to win the next us presidential election ?'
PRED SEQ:	 b'who would you expect to win the next us presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10739098, 0.005042585, 0.050201505, 0.40474412, 0.024547122, 0.00013794476, 0.033282563, 0.00041103346, 0.032095224, 0.06270337, 0.005051124, 0.003979954, 0.007867091]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what do you think about the arizona auditor ##s holding ballots under uv lights to look for " secret " water ##marks ?'
GOLD SEQ: 	 b'what do you think about the arizona auditor ##s holding ballots under uv lights to look for " secret " water ##marks ?'
PRED SEQ:	 b'what do you think about the arizona auditor ##s holding ballots under uv lights to look for " secret " water ##marks ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3356029, 0.012156529, 0.14945641, 0.037318833, 0.014437386, 0.046172276, 0.016238116, 0.016078528, 0.006395777, 0.027355554, 0.009524807, 0.0069512725, 0.06508745, 0.026852928, 0.005840503, 0.0068044728, 0.005177696, 0.000970859, 0.093116455, 0.0006644701, 0.021753741, 0.0198223, 0.030374559]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'now that the release of antrim county , mi hand count is available , how does that change your opinion about what happened in the 2020 election ?'
GOLD SEQ: 	 b'now that the release of antrim county , mi hand count is available , how does that change your opinion about what happened in the 2020 election ?'
PRED SEQ:	 b'now that the release of antrim county , mi hand count is available , how does that change the opinion about what happened in the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.019226363, 0.0017871504, 0.0002685819, 0.0043214, 1.6559194e-05, 0.012280197, 0.0015939381, 3.0087169e-05, 0.029770352, 0.010493746, 0.00036452437, 0.00022150422, 0.003030188, 7.281155e-05, 0.0017429431, 0.0009173781, 0.0003260585, 0.0026297898, 0.70568633, 0.00093004934, 1.7791612e-05, 0.00020811771, 0.018404452, 2.5114668e-05, 2.4942981e-05, 0.0001826743, 0.00029711795, 0.0002436769]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b"instead of making false claims about the 2020 election , shouldn ' t trump be doing a forensic examination of why he lost ?"
GOLD SEQ: 	 b"instead of making false claims about the 2020 election , shouldn ' t trump be doing a forensic examination of why he lost ?"
PRED SEQ:	 b"instead of making claims about the 2020 election , shouldn ' t trump be doing a forensic examination of why he lost ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0016505254, 0.00031158034, 0.0004433625, 0.7163235, 0.0007082489, 1.3788236e-05, 1.9166771e-05, 0.00011696663, 2.3467555e-05, 1.2790439e-05, 0.002427196, 1.1103762e-05, 1.8432745e-05, 0.0010920039, 9.692251e-06, 9.8287255e-06, 9.6857275e-06, 0.0013036384, 2.9709696e-05, 3.7716752e-06, 9.3909446e-05, 0.002090358, 0.00048568423, 6.0114628e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why is arizona rec ##ount ##ing ballots in the 2020 presidential election ?'
GOLD SEQ: 	 b'why is arizona rec ##ount ##ing ballots in the 2020 presidential election ?'
PRED SEQ:	 b'why is arizona rec ##ount ##ing ballots in the 2020 presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5885183, 0.018929634, 0.020561295, 0.025750222, 0.004935009, 0.015166569, 0.0108396, 0.0013726824, 0.001527709, 0.009350752, 0.008555689, 0.0013362926, 0.06407221]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what do you think of bid ##en saying the u . s . will hal ##ve emissions by 203 ##0 ?'
GOLD SEQ: 	 b'what do you think of bid ##en saying the u . s . will hal ##ve emissions by 203 ##0 ?'
PRED SEQ:	 b'what do you think of bid ##en the u . s . will hal ##ve emissions by 203 ##0 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0025405576, 3.3049393e-05, 0.00024287899, 6.1019673e-05, 2.1036352e-05, 0.001955991, 0.0010546539, 0.915297, 7.9906145e-05, 8.771787e-05, 3.0102923e-05, 3.8240232e-05, 4.2441163e-05, 0.0045316936, 0.0069616856, 0.0013007858, 0.0017943786, 0.00023702522, 0.0007218128, 4.0674015e-05, 0.00028076317]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'which republican senator should run for the 202 ##4 presidential campaign ?'
GOLD SEQ: 	 b'which republican senator should run for the 202 ##4 presidential campaign ?'
PRED SEQ:	 b'which republican senator should run for the 202 ##4 presidential campaign ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02933933, 0.0066603445, 0.0034338278, 0.82366323, 5.6270168e-05, 1.0930822e-05, 3.38044e-05, 0.0002148953, 0.000119168035, 0.00026946835, 4.1063675e-05, 0.002589883]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why does donald trump want to run in 202 ##4 ?'
GOLD SEQ: 	 b'why does donald trump want to run in 202 ##4 ?'
PRED SEQ:	 b'why does donald trump want to run in 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.6572031, 0.017229531, 0.0006848488, 0.00045122867, 0.015961459, 0.00018136586, 0.028725656, 0.0003762096, 0.005105865, 0.00021166143, 0.014662263]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what went wrong for the democrats in 2020 and can they fix it or will republicans dominate as they also control the states for the next 10 years no matter how many vote for democrats ?'
GOLD SEQ: 	 b'what went wrong for the democrats in 2020 and can they fix it or will republicans dominate as they also control the states for the next 10 years no matter how many vote for democrats ?'
PRED SEQ:	 b'what went wrong for the democrats in 2020 and can they fix it or will republicans dominate as they also control the states for the next 10 years no matter how many vote for democrats ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08039844, 0.09537594, 0.08213243, 0.00086560973, 0.0057079527, 0.017501602, 0.0001394458, 0.0011530832, 0.0022759303, 0.12817758, 0.08952873, 0.095816806, 0.0025828236, 0.002041691, 0.026849061, 0.018802142, 0.04976427, 0.0048055477, 0.016575517, 0.011074812, 0.04395363, 0.00035092133, 0.0029913536, 4.5241417e-05, 2.5133451e-05, 0.00024163796, 0.00021112751, 6.995884e-05, 0.004708098, 0.0016358123, 0.00033938492, 0.026729608, 0.0022036196, 0.00017006818, 0.009527091, 0.007921373]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will b ##lm and anti ##fa be successful in both stopping and invalid ##ating the arizona 2020 election forensic audit with their three peaceful protests scheduled for this week in phoenix ?'
GOLD SEQ: 	 b'will b ##lm and anti ##fa be successful in both stopping and invalid ##ating the arizona 2020 election forensic audit with their three peaceful protests scheduled for this week in phoenix ?'
PRED SEQ:	 b'will b ##lm and anti ##fa be successful in both stopping and invalid ##ating the arizona 2020 election forensic audit with their three protests scheduled for this week in phoenix ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.2921444e-06, 1.242692e-06, 1.403854e-06, 9.807432e-07, 8.3417486e-05, 0.0002504369, 7.4945156e-06, 1.826211e-06, 6.3029535e-07, 9.048852e-07, 9.245347e-07, 5.9268734e-07, 1.16452e-06, 9.569039e-07, 6.4621537e-07, 7.7916775e-07, 6.990746e-07, 7.23019e-07, 1.1176738e-06, 9.53006e-07, 7.2994237e-07, 1.3825876e-06, 1.8207267e-05, 0.9991486, 1.7085573e-06, 9.0951306e-07, 6.762745e-07, 1.4576682e-06, 8.928194e-07, 6.7663e-07, 7.904406e-07, 2.4016504e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"let ' s suppose after all these election audit ##s there is ir ##re ##fu ##table proof that the election was really won by trump , what happens next ?"
GOLD SEQ: 	 b"let ' s suppose after all these election audit ##s there is ir ##re ##fu ##table proof that the election was really won by trump , what happens next ?"
PRED SEQ:	 b"let ' s suppose after all these election audit ##s there is proof that the election was really won by trump , what happens next ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.5502275e-05, 6.299519e-06, 9.930718e-06, 3.3339002e-06, 1.4407697e-06, 2.0673342e-06, 2.3258024e-06, 2.5623035e-06, 1.1470321e-05, 2.5713605e-06, 1.5454945e-06, 1.0775736e-05, 0.99897146, 0.99900156, 0.99898225, 0.998944, 4.0215815e-05, 1.0007956e-06, 1.0902899e-06, 2.1690241e-06, 1.8925135e-06, 0.000121767276, 1.2406005e-05, 1.3203745e-06, 2.1056463e-05, 1.1315584e-06, 4.1009284e-06, 3.8343383e-06, 4.752169e-06, 2.22358e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how ridiculous is it that arizona republicans hired an openly trump ##ist outfit to conduct yet another 2020 election audit ?'
GOLD SEQ: 	 b'how ridiculous is it that arizona republicans hired an openly trump ##ist outfit to conduct yet another 2020 election audit ?'
PRED SEQ:	 b'how is it that arizona republicans hired an openly trump ##ist outfit to conduct yet another 2020 election audit ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.008024339, 0.93700224, 6.393611e-05, 0.000121657606, 4.056106e-06, 1.0049856e-05, 9.037883e-06, 2.7725673e-05, 1.2349652e-05, 0.0009929475, 0.0016239038, 0.00156168, 0.002868739, 2.0184584e-06, 4.9508267e-06, 0.0005787539, 5.8184764e-06, 1.2758885e-05, 4.1854305e-06, 2.6090553e-05, 1.7382925e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what would have happened had al gore behaved the same way after the 2000 election as donald trump behaved after the 2020 election ?'
GOLD SEQ: 	 b'what would have happened had al gore behaved the same way after the 2000 election as donald trump behaved after the 2020 election ?'
PRED SEQ:	 b'what would have happened had al gore behaved the same way after the 2000 election as donald trump behaved after the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.068974756, 0.022557491, 0.0070391726, 0.044987325, 0.0029896505, 0.000143127, 8.455651e-05, 0.23629233, 0.0006587385, 0.008067873, 0.018724015, 0.0001734386, 4.1543062e-05, 0.00029859744, 0.00036424663, 0.00083690055, 0.00019280039, 0.00013866695, 0.3549576, 0.00050590216, 0.00014957774, 0.0028198517, 0.0002582397, 0.009660677]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'has president bid ##en not yet increased the cap on refugees that the united states will accept as he promised during the 2020 campaign ?'
GOLD SEQ: 	 b'has president bid ##en not yet increased the cap on refugees that the united states will accept as he promised during the 2020 campaign ?'
PRED SEQ:	 b'has president bid ##en not increased the cap on refugees that the united states will accept as he promised during the 2020 campaign ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00010199419, 2.6503581e-05, 5.399226e-06, 2.2502156e-06, 0.00062051456, 0.9893349, 7.0153424e-06, 3.4307789e-06, 2.141662e-05, 5.298307e-06, 0.00052962464, 7.2575376e-06, 3.1782736e-06, 3.647429e-06, 1.8980734e-06, 0.00040387025, 6.0845185e-05, 7.16015e-06, 1.2017175e-05, 9.153082e-05, 3.0750703e-06, 2.5020217e-06, 7.239875e-06, 1.2999428e-05, 2.4142522e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'where can i watch the 2020 grammy ##s for free ?'
GOLD SEQ: 	 b'where can i watch the 2020 grammy ##s for free ?'
PRED SEQ:	 b'where can i watch the 2020 grammy ##s for free ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02272128, 0.012500998, 0.12651834, 0.019497495, 0.00302658, 0.049857073, 0.13349476, 0.033874065, 0.06739579, 0.33282533, 0.006966246]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is the bee population decreasing in 2020 ?'
GOLD SEQ: 	 b'is the bee population decreasing in 2020 ?'
PRED SEQ:	 b'is the bee population decreasing in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12122281, 0.031267777, 0.19500166, 0.037216768, 0.21023719, 0.006875076, 0.09601588, 0.3386504]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will andrew yang turn out to be a little trump ?'
GOLD SEQ: 	 b'will andrew yang turn out to be a little trump ?'
PRED SEQ:	 b'will andrew yang turn out to be a trump ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11133425, 0.0014291151, 0.0011182139, 0.017396512, 0.002174457, 4.1386713e-05, 0.00015464934, 0.00086154643, 0.5603396, 0.19848223, 0.063224085]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"what is joe bid ##en ' s strategy for semiconductor ##s , and what do you think ?"
GOLD SEQ: 	 b"what is joe bid ##en ' s strategy for semiconductor ##s , and what do you think ?"
PRED SEQ:	 b"what is joe bid ##en ' s strategy for semiconductor ##s , and what do you think ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07529782, 0.21766591, 0.00058912655, 8.608254e-05, 5.1666007e-05, 0.0003998802, 0.0019527504, 0.058702555, 0.0009401571, 0.18295982, 0.2931442, 7.948284e-05, 0.0010300071, 0.013324208, 0.0033731898, 0.029361108, 0.013567076, 0.007287739]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what powered trump ##s improved performance with latino voters in 2020 ?'
GOLD SEQ: 	 b'what powered trump ##s improved performance with latino voters in 2020 ?'
PRED SEQ:	 b'what powered trump ##s improved performance with latino voters in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.013388502, 0.67403954, 0.0048850765, 0.0036709704, 0.39624897, 0.0026102902, 3.2353793e-05, 0.0031508368, 0.00044384587, 2.296983e-05, 0.00028952418, 0.0048036715]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why did the muslim american vote swing to the republicans in 2020 ?'
GOLD SEQ: 	 b'why did the muslim american vote swing to the republicans in 2020 ?'
PRED SEQ:	 b'why did the muslim american vote swing to the republicans in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.023443807, 0.005572987, 0.0060649132, 0.67731017, 0.12418716, 0.0038143378, 0.017881015, 2.51037e-05, 0.0013524487, 0.0073109916, 0.00025570247, 0.0024836801, 0.004600043]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how do you think people will view the capitol storm ##ing of january 6th in twenty years ?'
GOLD SEQ: 	 b'how do you think people will view the capitol storm ##ing of january 6th in twenty years ?'
PRED SEQ:	 b'how do you think people will view the capitol storm of january 6th in twenty years ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0069059925, 0.00035696718, 0.0032884735, 0.0074835164, 0.0074030873, 0.0052834637, 0.003359738, 0.00011828397, 0.0055765337, 0.86038727, 0.81429434, 9.646453e-05, 0.00015189408, 0.00020872123, 0.00038233004, 0.0012454352, 0.0001073164, 0.00011767096]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why do 70 % of trump supporters still believe that he won the 2020 election ?'
GOLD SEQ: 	 b'why do 70 % of trump supporters still believe that he won the 2020 election ?'
PRED SEQ:	 b'why do 70 % of trump supporters believe that he won the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13834278, 0.0043573645, 0.0009991222, 2.5138053e-05, 7.722842e-06, 0.0023274214, 0.0100834165, 0.5842284, 0.06955702, 5.653739e-05, 0.010552322, 0.0074868784, 5.3525055e-05, 0.0003194843, 0.000120106684, 0.0020913014]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what will happen now that facts have been released that putin again interfered into the 2020 presidential election on behalf of trump ?'
